concurrency,prompt_size,response_size,successful_requests,failed_requests,avg_latency,avg_ttft,throughput,total_execution_time,error_status_codes
1,64,128,1,0,1.337867021560669,1.337885856628418,3.7355620393229807,1.338486671447754,{}
2,64,128,2,0,2.0453734397888184,2.0453885793685913,20.332898322053705,2.163980722427368,{}
3,64,128,3,0,2.1911961237589517,2.1912153561909995,21.880629875051646,5.941328048706055,{}
4,64,128,4,0,2.5221723914146423,2.5221974849700928,25.344315346867255,6.115769863128662,{}
5,64,128,5,0,3.462009572982788,3.4620335578918455,11.839575379821106,15.287710428237915,{}
6,64,128,6,0,1.5262065728505452,1.52622389793396,8.65469598703273,12.478774547576904,{}
7,64,128,7,0,2.3807123388562883,2.3807381902422224,18.678033820112738,18.256739616394043,{}
8,64,128,8,0,2.1702536046504974,2.170283406972885,22.94731791570928,12.114705562591553,{}
9,64,128,9,0,1.5982391039530437,1.5982611974080403,13.14236750064902,13.39180326461792,{}
10,64,128,10,0,3.0483261823654173,3.0483490228652954,14.839488807620013,27.157269716262817,{}
1,4096,2048,1,0,1.6041865348815918,1.6041982173919678,0.6232032942688174,1.6046128273010254,{}
2,4096,2048,2,0,1.8489272594451904,1.8489389419555664,0.4749044655221023,2.105686664581299,{}
3,4096,2048,3,0,1.837264060974121,1.8372803529103596,3.0177568158569685,5.3019514083862305,{}
4,4096,2048,4,0,3.2842102646827698,3.28423011302948,1.2784979295121908,8.603846549987793,{}
5,4096,2048,5,0,1.9403619289398193,1.9403772830963135,4.676150478895135,5.773980140686035,{}
6,4096,2048,6,0,1.7706456184387207,1.7706636190414429,0.45278380595140133,13.251357316970825,{}
7,4096,2048,7,0,1.9415851320539201,1.9416032859257288,1.7137281402457112,26.258540630340576,{}
8,4096,2048,8,0,1.9723247587680817,1.9723421931266785,0.844327417970685,24.871867895126343,{}
9,4096,2048,9,0,2.0631437831454806,2.063164366616143,1.784302977189825,22.417717456817627,{}
10,4096,2048,10,0,2.094284725189209,2.0943068504333495,1.8404335455799996,24.994110822677612,{}
1,128,64,1,0,1.9340250492095947,1.9340507984161377,16.541764657309027,1.934497356414795,{}
2,128,64,2,0,2.452759623527527,2.4527761936187744,24.67825271851597,2.9580700397491455,{}
3,128,64,3,0,2.26606822013855,2.266090154647827,20.82884622516427,5.233127117156982,{}
4,128,64,4,0,2.3687363266944885,2.3687766790390015,22.26700207934471,6.197511434555054,{}
5,128,64,5,0,2.391227149963379,2.3912532806396483,14.11665498061962,12.538381099700928,{}
6,128,64,6,0,2.11608616511027,2.1161183516184487,15.382768687311264,11.961435794830322,{}
7,128,64,7,0,1.760573250906808,1.7606008052825928,9.9261026789209,12.89529275894165,{}
8,128,64,8,0,2.039230465888977,2.039255142211914,9.451203959913224,22.748424530029297,{}
9,128,64,9,0,2.2916820844014487,2.291706985897488,13.588766139804312,24.579126358032227,{}
10,128,64,10,0,2.1937525510787963,2.1937762975692747,11.927735493250008,24.564595699310303,{}
1,1024,4096,1,0,1.2571933269500732,1.2572076320648193,1.5903650730485457,1.257572889328003,{}
