concurrency,prompt_size,response_size,successful_requests,failed_requests,avg_latency,avg_ttft,throughput,total_execution_time,error_status_codes
1,64,1024,1,0,1.664172887802124,1.664327621459961,10.811891703320923,1.6648335456848145,{}
2,64,1024,2,0,2.127720355987549,2.127746343612671,15.622119116232303,3.072566509246826,{}
3,64,1024,3,0,1.9772888819376628,1.9773122469584148,8.679121986122706,5.30007529258728,{}
4,64,1024,4,0,3.637675940990448,3.6377153396606445,11.57546263642585,9.416470289230347,{}
5,64,1024,5,0,2.9055758476257325,2.9056018829345702,15.543687390813092,12.159276962280273,{}
6,64,1024,6,0,2.0508416096369424,2.0508751471837363,8.83615241661343,13.127885818481445,{}
7,64,1024,7,0,4.2742465904780795,4.274279798780169,10.465487992242355,30.7677960395813,{}
8,64,1024,8,0,2.8008454740047455,2.8008837401866913,6.023956375723744,16.43438196182251,{}
9,64,1024,9,0,2.696379714541965,2.696420510609945,12.348820327380308,23.807942152023315,{}
10,64,1024,10,0,4.180591750144958,4.180630183219909,9.177334038608173,42.38703727722168,{}
1,4096,64,1,0,2.1100168228149414,2.110036849975586,0.47375851565520605,2.1107800006866455,{}
2,4096,64,2,0,2.459280014038086,2.459299325942993,1.736782630119856,2.8788864612579346,{}
3,4096,64,3,0,2.3717700640360513,2.3717943827311196,0.6058671175046757,6.602107763290405,{}
4,4096,64,4,0,2.5628204345703125,2.5628406405448914,2.2060729934224974,6.346118211746216,{}
5,4096,64,5,0,2.30487117767334,2.304895305633545,0.4808722325857639,16.636435747146606,{}
6,4096,64,6,0,7.834900617599487,7.834922631581624,0.5518764715241777,21.743996381759644,{}
7,4096,64,7,0,2.4319054739815846,2.4319212096078053,1.26739264004965,14.991407871246338,{}
8,4096,64,8,0,2.4795464277267456,2.4795621037483215,1.4460027033877847,13.831232786178589,{}
9,4096,64,9,0,3.0047061178419323,3.00472264819675,0.47412996019212617,27.41864275932312,{}
10,4096,64,10,0,5.233135557174682,5.233152747154236,0.9489332835218514,32.6682608127594,{}
1,2048,64,1,0,17.94734477996826,17.94737148284912,0.05571710810750566,17.947808742523193,{}
2,2048,64,2,0,9.691133260726929,9.691157221794128,1.896954532246229,13.706179857254028,{}
3,2048,64,3,0,2.71464474995931,2.7146596908569336,5.468805796425864,5.302803039550781,{}
4,2048,64,4,0,2.2406716346740723,2.240691065788269,2.3212971688715163,5.600317001342773,{}
5,2048,64,5,0,2.1806641101837156,2.1806824684143065,0.9129236863035677,14.23996353149414,{}
6,2048,64,2,4,2.3385303020477295,2.338543176651001,0.11653620225795369,60.06717109680176,"{""Unknown"": 4}"
5,2048,64,5,0,13.222554063796997,13.222585105895996,1.2804162856650056,22.648884057998657,{}
6,2048,64,6,0,2.1609373092651367,2.160958170890808,2.092147095978763,14.339335918426514,{}
7,2048,64,7,0,2.2425903252192905,2.242609739303589,3.831036970354334,13.57334852218628,{}
8,2048,64,8,0,2.7760497331619263,2.776072084903717,3.038132047193308,26.661118984222412,{}
9,2048,64,9,0,7.811948670281304,7.811966260274251,3.3645531657229277,31.504926443099976,{}
10,2048,64,10,0,2.6577847003936768,2.6578004121780396,3.649967649796757,26.02762794494629,{}
1,64,4096,1,0,1.658083438873291,1.6581079959869385,7.838148121953561,1.658555030822754,{}
2,64,4096,2,0,1.9581438302993774,1.9581739902496338,3.004067354917564,2.6630561351776123,{}
3,64,4096,3,0,4.453457673390706,4.453476428985596,22.185672108077,7.887973785400391,{}
4,64,4096,4,0,1.9796761274337769,1.9796966314315796,6.69765362248294,8.958361148834229,{}
5,64,4096,5,0,2.319718599319458,2.319751262664795,8.709891633783322,13.433002948760986,{}
6,64,4096,6,0,2.152130047480265,2.152155955632528,13.231080222931393,12.5462167263031,{}
7,64,4096,7,0,4.390058074678693,4.390082052775791,12.049759587414412,28.797255039215088,{}
8,64,4096,2,6,11.899299383163452,11.899316430091858,1.1993061911769478,65.87141847610474,"{""Unknown"": 6}"
7,64,4096,7,0,2.0973780495779857,2.0973988601139615,8.833455376803274,13.245100021362305,{}
8,64,4096,8,0,8.026903659105301,8.026928961277008,21.5717176723579,48.767558336257935,{}
9,64,4096,9,0,2.961329778035482,2.9613564014434814,11.530649938541918,26.62469172477722,{}
10,64,4096,10,0,2.506608724594116,2.5066323280334473,4.942503898106761,35.81180787086487,{}
1,128,128,1,0,2.3882641792297363,2.3882768154144287,11.721974034104168,2.388676166534424,{}
2,128,128,2,0,2.40272855758667,2.402742385864258,15.0668627256802,2.920315980911255,{}
3,128,128,3,0,3.3634234269460044,3.3634443283081055,9.64586129538043,10.056126356124878,{}
